Level Book,"root LevelBook_nour.c (\""SCH3U-S22-0122-013.csv\"")",,,,,,t=test,q=quiz,,,g=googledocs for the whole strand,,,,p=project,,L= Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,O.A,,pA = Article,,,,pP = Presentation,,,f=portfolio for the whole strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPECTATION LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SCIENTIFIC INVESTIGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Research & Careers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matter Properties ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Periodic Table Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Elements & Compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHEMICAL RECATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Analysis Chemical Rxns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Types Chemical Rxns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Identifying & Exploring Rxns ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,QUANT. IN CHEM. REACT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mole Concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Quantitative Real App.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Solve Quantitative Problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOLUTIONS & SOLUBILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Envir. Issues Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Quant. Qual. Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Modelling Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GASES & ATM. CHEMISTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Envir. Issues Gas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gas Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Modeling Gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SUMMATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EXAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(End),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last,first name,2,-3,B,-4,-3,3,-4,-3,R-,4,3,4+,3,4,-4,3+,4,4,B,B,4+,5,5,-4,B,3+,4+,3+,4+,3,4,4+,5,5,4,4,4,4+,5,4,4,3+,4+,4+,4+,4,-3,-3,4,4+,5,83.83333333333333,88.18333333333332
last,first name,4,5,3+,-4,-4,3,-4,4+,4+,3,4,4+,-4,-4,4,3,4,4,4+,4,4+,4+,5,-4,4+,4,5,4+,5,5,5,4+,5,3,5,4,4,5,5,5,3+,4+,-4,4+,4+,4,5,5,4,4+,5,91.66666666666667,93.66666666666667
last,first name,4+,4+,5,4+,5,1,4+,4+,5,4+,4,4+,-4,5,4,4+,4,4,4+,4+,4+,4+,4+,-4,4+,4+,5,-4,5,5,5,4+,5,5,4+,4,4,5,5,3+,4+,-4,5,4+,4+,4,3+,3+,4,4+,5,92.5,94.25
last,first name,4,5,3+,2,R,4,R,3+,3,2,-2,4+,R+,-2,3+,3,-4,3+,3+,-4,-4,3+,5,-4,-4,4+,3+,3+,-4,5,3+,4,5,-3,4,4,4,5,3,4+,4,-4,5,4+,4+,4,-4,-4,4,2,5,82.16666666666667,84.01666666666667
last,first name,4,5,3+,4+,5,5,5,4+,4+,4+,3,4+,4+,5,4+,4,5,5,4+,4,4+,5,5,-4,4+,4+,5,5,5,5,4,4+,5,4+,5,4,4,5,5,4,4+,5,5,4+,4+,4,5,5,4,5,5,95.0,96.5
last,first name,4,5,3+,-4,5,4+,4+,4,3,4,5,-4,R,-4,4+,5,5,4+,4+,4,4+,4+,5,-4,4,4+,5,4+,5,5,5,4+,5,-4,5,4,4,5,5,5,4+,4+,5,4+,4+,4,4+,4+,4,4+,5,92.5,94.25
last,first name,4,-4,4+,4+,4,3+,4,4,-4,4,3,5,4+,5,4+,4+,5,5,4+,4+,4+,4+,5,-4,4+,4,5,4+,5,5,4+,4+,5,5,5,4,4,5,4,4+,4+,4+,4+,4+,4+,4,4+,4+,4,5,5,94.16666666666667,95.91666666666667
last,first name,-4,-4,-4,4,4+,-4,5,4+,3,4,-2,5,4,4,4+,4+,5,5,4+,4+,4+,5,5,4,4+,4+,5,-4,5,4+,4+,4+,5,5,5,4,4,5,5,4,4+,5,5,4+,4+,4,5,5,4,5,5,93.33333333333333,95.33333333333333
last,first name,-4,-4,-4,3+,-3,3,4,3+,-1,2,5,5,4+,2+,-4,3+,4+,4+,3+,4,4,-4,5,4+,B,B,3,-4,4,5,-3,4+,5,4+,4,B,4,5,5,4+,5,4,5,4+,4+,4,4,4,4,4+,5,87.16666666666667,90.51666666666667
last,first name,4,-4,4+,3,3+,3,3+,4,2,4+,5,4,R+,2,-4,3+,-4,4,4+,-4,-4,4+,2,-4,4,-4,-4,-4,4+,-4,4+,4,5,3+,4+,4,4,5,5,3+,4,4,-4,4+,4+,4,4,4,4,-3,5,85.83333333333333,87.28333333333333
last,first name,4,-4,4+,-3,2+,R,-4,4,2,2,3,4+,R,3+,4,5,4,4,3+,-4,4,-4,5,-4,2+,4+,4+,5,5,3,B,3+,5,-3,2,4,4,3+,3,4+,4,3,3,4+,4+,B,3,3,4,4+,5,82.5,87.25
last,first name,R,R,B,-4,5,4+,5,4,3,3,4,4+,2,4,-4,-4,4,4+,3+,3+,4+,4+,5,-4,2+,4+,3+,-4,5,5,4+,5,5,5,5,4,4,5,5,5,4+,5,5,4+,4+,4,5,5,4,4,5,83.33333333333333,87.33333333333333
last,first name,5,5,5,4,A,A,A,4+,4,4,4,4+,-4,5,4+,5,5,4,-4,4+,4+,4+,5,4,4+,-4,5,5,4+,5,5,4+,5,5,5,4,4,4+,5,3+,4,4+,4+,4+,4+,4,4+,4+,4,5,5,95.0,96.5
last,first name,3+,3,5,3,4+,3,5,-3,2,2,1,4,3,3+,3+,-1,-4,3+,3+,3+,4+,5,5,-4,-3,4,4+,3+,5,5,5,4+,5,3+,4+,B,4,5,4+,4,-4,-4,5,4+,4+,4,3+,3+,4,4+,5,84.33333333333333,88.53333333333333
last,first name,2,B,4+,4,3+,2+,5,1,4,4+,4,4,4,-2,-4,3+,3+,-4,1+,B,3+,-4,R+,-2,1+,2+,-4,-4,5,3,4,3+,5,3+,-4,4,4,3,-4,B,4,4,5,4+,4+,4,4,4,4,4+,5,81.0,86.19999999999999
last,first name,4+,4+,5,4,-4,4+,5,4+,4+,4,5,5,4,-4,4+,4+,4+,5,4+,4,4+,5,5,-4,4+,4+,4,4+,5,5,5,4+,5,5,5,4,4,5,5,4+,4+,5,5,4+,4+,4,5,5,4,4+,5,95.0,96.0
last,first name,5,5,5,4+,-4,-4,5,4+,4+,4+,5,4+,3+,4+,5,4+,5,5,4+,4+,5,5,5,5,4+,4+,5,5,5,5,4+,4+,5,4,4+,4,4,5,5,4+,4+,4+,5,4+,4+,4,4+,4+,4,4+,5,97.5,97.75
last,first name,5,5,5,3,-3,R-,4+,3+,-4,4,-2,5,2,2+,4,4,4+,-4,3,4,4+,4+,5,-4,4,4+,5,-4,5,4+,5,4+,5,5,5,4,4,5,4+,4,4,5,5,4+,4+,4,5,5,4,4+,5,92.5,94.25
last,first name,4+,4+,5,-1,A,A,A,-3,1+,3,1,R,R+,-1,3,3+,3,2,-4,3+,1+,-1,R-,R-,3+,-4,2,3+,2,4,3+,R,B,R+,R-,2,4,R,B,1,R,-1,R,4+,4+,4,-1,-1,1,R+,5,61.166666666666664,67.31666666666666
last,first name,4+,4+,5,4+,5,4,4+,4+,4+,4,4,5,5,5,4+,5,4+,5,4+,4+,4+,5,5,-4,4+,4+,5,5,5,5,5,4+,5,5,4+,4,4,5,5,5,5,5,5,4+,4+,4,5,5,4,4+,5,95.83333333333333,96.58333333333333
last,first name,4+,4+,5,3+,-3,R,4+,4+,-4,3,-2,4+,3+,4,4+,4+,4+,4+,4+,5,4+,5,4+,4+,4+,4+,5,5,5,5,4+,4+,5,4+,5,4,4,5,5,4+,4+,5,5,4+,4+,4,5,5,4,5,5,93.0,95.1
